iter	Logloss
0	0.637347144
1	0.5985602378
2	0.5659504726
3	0.536260986
4	0.5175490155
5	0.5013886466
6	0.4826167312
7	0.4723015298
8	0.4577531487
9	0.4497753579
10	0.444684638
11	0.4401653709
12	0.4375677058
13	0.4324504964
14	0.4308424949
15	0.429552518
16	0.4273927878
17	0.4238308243
18	0.4179881387
19	0.4160051647
20	0.4100872642
21	0.4048466251
22	0.397691589
23	0.391527953
24	0.380129688
25	0.3786582959
26	0.3732730495
27	0.3658007477
28	0.3608240721
29	0.3597795938
30	0.3591472972
31	0.3536910673
32	0.3536875223
33	0.3523776633
34	0.3503905232
35	0.3490253329
36	0.3438567254
37	0.3411284251
38	0.3386019814
39	0.3348992354
40	0.3347421485
41	0.3321212323
42	0.3306122763
43	0.323751473
44	0.3231271839
45	0.3231051718
46	0.3230873211
47	0.3228848626
48	0.3198987972
49	0.317675275
50	0.3169794809
51	0.3166946029
52	0.3158380791
53	0.3135903363
54	0.3135305203
55	0.3105746864
56	0.3071878758
57	0.304643955
58	0.3038502736
59	0.3022530813
60	0.3015199443
61	0.2995564208
62	0.2988677104
63	0.2959262623
64	0.2958104293
65	0.2927852603
66	0.2907494394
67	0.2888076245
68	0.2874382194
69	0.2871465802
70	0.2857289461
71	0.2846266357
72	0.2832657633
73	0.2823192699
74	0.2805633254
75	0.2800589523
76	0.2784262429
77	0.2761300651
78	0.2757128357
79	0.274032998
80	0.271651031
81	0.2692716614
82	0.2677412137
83	0.2654515102
84	0.2649702795
85	0.2636548032
86	0.2610979358
87	0.2582888378
88	0.2570818597
89	0.2557539968
90	0.2531754238
91	0.2497858498
92	0.2467197847
93	0.2440964979
94	0.2429023053
95	0.2408290022
96	0.2389798247
97	0.2332018991
98	0.2308001073
99	0.2296747897
100	0.2279238212
101	0.2259028775
102	0.2250344506
103	0.223551811
104	0.2229582258
105	0.2223062716
106	0.2205330701
107	0.2179707148
108	0.2165950415
109	0.2151055262
110	0.2140141087
111	0.2127061922
112	0.2113730112
113	0.2091882178
114	0.2075841317
115	0.2070920865
116	0.2058516344
117	0.2022652549
118	0.199907079
119	0.1990064194
120	0.1984010761
121	0.1973491416
122	0.195488214
123	0.1932303135
124	0.192566341
125	0.1907127392
126	0.1890089815
127	0.1884596447
128	0.1879157829
129	0.186814644
130	0.1852715616
131	0.1843300506
132	0.1834265454
133	0.1816959977
134	0.1812856565
135	0.1805026897
136	0.1787809244
