iter	Passed	Remaining
0	59	599928
1	61	308032
2	62	206953
3	62	156714
4	63	126311
5	63	106001
6	63	91066
7	64	80459
8	64	71848
9	66	65944
10	66	60334
11	66	55561
12	67	51571
13	67	48180
14	67	45174
15	68	42560
16	68	40228
17	68	38188
18	69	36346
19	69	34747
20	70	33314
21	70	31977
22	70	30639
23	71	29576
24	71	28600
25	72	27639
26	72	26795
27	72	25992
28	73	25214
29	73	24517
30	74	23845
31	74	23228
32	74	22631
33	75	21993
34	75	21380
35	75	20902
36	75	20427
37	76	19994
38	76	19494
39	76	19098
40	77	18707
41	77	18351
42	77	17999
43	78	17668
44	78	17339
45	78	17027
46	79	16731
47	79	16440
48	79	16173
49	80	15933
50	80	15673
51	80	15460
52	81	15227
53	81	15006
54	81	14800
55	82	14606
56	82	14428
57	83	14260
58	83	14106
59	84	13941
60	84	13758
61	84	13588
62	85	13422
63	85	13263
64	85	13103
65	86	12972
66	86	12835
67	86	12680
68	87	12543
69	87	12414
70	87	12303
71	88	12177
72	88	12055
73	88	11934
74	89	11825
75	89	11701
76	89	11590
77	90	11494
78	90	11413
79	91	11321
80	91	11220
81	91	11126
82	92	11106
83	93	11022
84	93	10940
85	94	10857
86	94	10777
87	94	10693
88	95	10614
89	95	10539
90	96	10478
91	96	10398
92	96	10321
93	97	10248
94	97	10195
95	98	10126
96	98	10051
97	98	9982
98	99	9917
99	99	9850
100	99	9789
101	100	9726
102	100	9666
103	100	9605
104	101	9542
105	101	9481
106	102	9493
107	103	9439
108	103	9391
109	103	9335
110	104	9275
111	104	9232
112	104	9185
113	105	9137
114	105	9078
115	106	9032
116	106	8976
117	106	8926
118	106	8881
119	107	8842
120	107	8788
121	107	8739
122	108	8704
123	108	8659
124	109	8618
125	109	8581
126	109	8539
127	110	8496
128	110	8456
129	110	8410
130	111	8378
131	111	8351
132	112	8320
133	112	8281
134	112	8251
135	113	8212
136	113	8184
137	114	8151
138	114	8116
139	114	8085
140	115	8045
141	115	8008
142	115	7971
143	116	7940
144	116	7908
145	116	7876
146	117	7847
147	117	7814
148	117	7780
149	118	7748
150	118	7717
151	118	7685
152	118	7657
153	119	7632
154	119	7601
155	119	7571
156	120	7544
157	120	7514
158	120	7487
159	121	7461
160	121	7439
161	122	7410
162	122	7382
163	122	7368
164	123	7340
165	123	7317
166	124	7315
167	124	7295
168	124	7268
169	125	7243
170	125	7217
171	125	7194
172	126	7170
173	126	7145
174	126	7124
175	127	7101
176	127	7082
177	127	7062
178	128	7038
179	128	7020
180	129	7002
181	129	6988
182	130	6974
183	130	6951
184	130	6935
185	131	6916
186	131	6895
187	131	6878
188	132	6859
189	132	6842
190	132	6823
191	133	6807
192	133	6799
193	134	6788
194	134	6772
195	135	6752
196	135	6737
197	135	6720
198	136	6702
199	136	6683
200	136	6666
201	137	6651
202	137	6635
203	137	6621
204	138	6604
205	138	6593
206	139	6577
207	139	6569
208	139	6552
209	140	6534
210	140	6519
211	140	6509
212	141	6492
213	141	6479
214	142	6475
215	142	6462
216	143	6448
217	143	6432
218	143	6422
219	144	6412
220	144	6400
221	144	6384
222	145	6367
223	145	6353
224	145	6337
225	146	6320
226	146	6305
227	146	6291
228	147	6277
229	147	6264
230	147	6252
231	148	6237
232	148	6226
233	148	6213
234	149	6202
235	149	6188
236	149	6176
237	150	6163
238	150	6149
239	150	6136
240	151	6125
241	151	6112
242	151	6101
243	152	6089
244	152	6075
245	152	6061
246	153	6048
247	153	6036
248	153	6030
249	154	6017
250	154	6007
251	155	5996
252	155	5985
253	155	5974
254	156	5970
255	156	5961
256	157	5952
257	157	5943
258	157	5937
259	158	5930
260	158	5921
261	159	5913
262	159	5904
263	159	5896
